machine: Intel(R) Core(TM) Ultra 9 185H  (Ubuntu 22.04.5 LTS)
run 2e743f4b-4945-4c18-8bd0-3a68fbc0cd9c  2026-09-21T16:23:01.739377Z -> 2026-09-21T16:23:13.893026Z
METRIC        THR         WS       MEDIAN         MEAN     CoV% MAD/MED%      N          MIN          MAX   LATE%   ATT    CLK0    CLK1
mem_read_bw     1  268435456         23.1        23.17     1.92     1.40     10         22.5        23.89     0.0     1    14.2    14.7
mem_read_bw     2  268435456        37.97        37.64     2.76     1.74     10        35.93        38.77     0.0     1    14.9    14.3
mem_read_bw     3  268435456         42.4        42.17     3.19     2.43     10        40.15        43.89     0.0     1    14.3    15.0
mem_read_bw     4  268435456        48.54        48.71     9.34     4.42     10        37.78        53.34     0.0     1    15.9    15.1
mem_read_bw     6  268435456         68.4        68.08     3.21     2.46     10        64.14        70.99     0.0     1    18.9    15.4
mem_read_bw     8  268435456        70.84        70.28     2.75     1.85     10        67.58        73.29     0.0     1    15.0    15.7
mem_read_bw    11  268435456         79.8        79.79     2.59     1.71     10        76.05        83.23     0.0     1    15.0    15.6
mem_read_bw    16  268435456        84.24        83.64     2.33     1.12     10        79.87        85.86     0.0     1    16.4    15.5
mem_read_bw    22  268435456        63.96        64.38    14.91    15.30     10        50.75        75.28   100.0     1    15.4    15.4
