
### canary_load_0

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
### knob_warmup_off

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 200 | 4.454e+09 | 3.62% | 1.70% | 0.0% | 1 | 3.61% | 1.43 | -0.92% | 24% | 1.73s | 8 |
| `cpu_fp_ops`@1 | 200 | 8.812e+09 | 4.22% | 3.02% | 0.0% | 1 | 3.46% | 0.94 | +8.32% | 46% | 1.58s | 0 |
| `cpu_hash_ops`@1 | 200 | 1.48e+08 | 4.93% | 2.48% | 0.0% | 1 | 4.79% | 1.33 | -4.08% | 1% | 5.91s | 5 |

### knob_warmup_on

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 200 | 4.546e+09 | 4.66% | 1.83% | 0.0% | 1 | 4.51% | 1.70 | +3.97% | 14% | 2.30s | 16 |
| `cpu_fp_ops`@1 | 200 | 8.763e+09 | 3.55% | 1.99% | 0.0% | 1 | 3.52% | 1.20 | +1.67% | 48% | 1.43s | 2 |
| `cpu_hash_ops`@1 | 200 | 1.444e+08 | 4.81% | 2.21% | 0.0% | 1 | 4.61% | 1.46 | -4.78% | 2% | 5.51s | 6 |

### target2_cpu_fp

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_fp_ops`@1 | 1000 | 9.094e+09 | 3.47% | 2.47% | 0.0% | 1 | 3.47% | 0.95 | -0.73% | 62% | 1.62s | 3 |
| `cpu_fp_ops`@22 | 1000 | 9.806e+10 | 9.36% | 5.87% | 91.8% | 1 | 8.84% | 1.06 | -10.63% | 35% | 1.63s | 13 |

### target2_cpu_hash

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
